"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","viewingHint","Type.typeOfResource","Rights.copyrightStatus","Name.sponsor","Name.subject","Name.publisher","Rights.servicesContact","Subject.conceptTopic","Type.genre","Language","Name.repository","Name.designer","Subject.uniformTitle","Name.photographer","Name.creator","Subject.geographicPlace","Coverage.geographic","Description.note","Date.normalized","Publisher.placeOfOrigin","Title","Date.creation","Alt ID.local","Format.extent","Description.caption","AltTitle.parallel","AltTitle.other","Publisher.publisherName","Opac url","Finding Aid URL","IIIF Manifest URL"
"Ethiopian Posters","ark:/21198/zz002hh043","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh043%2Fgj22ms4w","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|Side with images: Logos for the Ethiopian government and International Trachoma Initiative in lower right corner of poster.|~|Side with images: Orange-red poster. Large photograph show a boy and a girl splashing water on their faces while a second boy pours water into their hands. Four small drawings are along the bottom border of the poster: a woman with a purple headscarf with a patch over her right eye, a woman getting ready to take a pill with some water, a boy splashing water on his face, while a hand is pouring water out of a pitcher, and a woman using a broom.|~|Double-sided poster. One side is chiefly images while the other side is chiefly text. Poster is primarily in Amharic with only the logos in English.|~|Side with text: the number ""1"" is in the lower right corner. This side is in greyscale.|~|Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.","1998/2010","[Addis Ababa (Ethiopia)?]","Three children washing faces to prevent trachoma [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_001","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh043/manifest"
"Ethiopian Posters","ark:/21198/zz002hh064","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh064%2Fq331mk26","private","individuals","still image","","","","","","Sexually transmitted diseases $x Prevention $z Ethiopia|~|Condom use $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster shows five steps on how to properly use and dispose of a condom. The images are in circles. A logo of a sun on the horizon is in the lower left corner.|~|Double-sided poster. One side is light blue and grey and chiefly images. The other side is green printed in purple text with no images.","1980/2010","[Ethiopia]","How to use a condom in five steps [descriptive]","[between 1980 and 2010?]","ucla_1922_box01_folder018_002","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh064/manifest"
"Ethiopian Posters","ark:/21198/zz002hh085","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh085%2F0s30vs6c","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|Image side of the poster: ""2"" in lower right corner. Text side of the poster ""3"" in lower right corner.|~|Side with images: Two headshots of women, side by side. On the left is a young woman whose eyes are inflamed, red, and oozing. A fly crawls on her left cheek. On the right is an old woman wearing a red headscarf. Her left eye is red and crusted, partially closed, possibly blind.|~|Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.","1998/2010","[Ethiopia]","Two women with eye diseases [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_003","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh085/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0b6","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0b6%2Fp942wg4d","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|Double-sided poster. One side is chiefly images on an orange background while the other side is chiefly text in greyscale.|~|An old woman stands behind a child. The woman wears a purple and pink patterned headscarf, a cream-colored wrap, and an orange, yellow, and black dress. She carries a staff or pole in her right hand and appears to be lightly prodding the child. The child wears a grey and red dress. and is facing away from the woman, squinting. Black specks on the child's face may be flies. The two of them stand in a grassy area.|~|Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|Image side of the poster: ""4"" in lower right corner. Text side of the poster ""5"" in lower right corner.","1998/2010","[Addis Ababa (Ethiopia)?]","Old woman prodding a child with a stick [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_004","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0b6/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0d7","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0d7%2Fqn55mm22","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Image side: A chart showing the transmission of eye diseases in eleven images. A boy with an eye disease hangs out with another boy, hugging him. The second boy touches his eye, catching the disease. Flies land on that boy's eyes, and carry the disease to a girl. The girl gets her face wiped with a handkerchief, which is then used to wipe a baby's face and then the mother's. The whole group of five have now been infected.|~|Image side of the poster: ""6"" in lower right corner. Text side of the poster ""7"" in lower right corner.|~|Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.","1998/2010","[Addis Ababa (Ethiopia)?]","Chart showing how eye diseases get transmitted [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_005","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0d7/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0g8","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0g8%2Fp515h421","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Image side of the poster: ""8"" in lower right corner. Text side of the poster ""9"" in lower right corner.|~|Four children stand near a small bucket that is dribbling out water. The children are washing their faces. In the lower left corner of the poster is a drawing of a young man washing his face as a hand pours out water from a pitcher.|~|Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.","1998/2010","[Addis Ababa (Ethiopia)?]","Four children wash their faces from a water bucket to prevent eye diseases [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_006","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0g8/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0j9","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0j9%2Fd766zg88","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Image side of the poster: ""10"" in lower right corner. Text side of the poster ""11"" in lower right corner.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|A woman in a blue, purple, and white patterned headscarf and grey-brown dress wipes a baby's face that she is holding in her lap. A pitcher of water sits next to them. A drawing in the lower left corner of the poster is of a young man washing his face as a hand pours water out of a pitcher.|~|Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.","1998/2010","[Addis Ababa (Ethiopia)?]","Woman washes a baby's face to prevent eye diseases [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_007","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0j9/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0mb","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0mb%2Fkf454515","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|A young woman in a green dress replaces the lid on a wooden outhouse hole. In the lower left corner of the poster is a drawing of a woman using a broom.|~|Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Image side of the poster: ""12"" in lower right corner. Text side of the poster ""13"" in lower right corner.","1998/2010","[Addis Ababa (Ethiopia)?]","Young woman replaces the lid in an outhouse [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_008","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0mb/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0pc","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0pc%2Fs699c10b","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|A woman uses a homemade broom to sweep outside a wooden hut. The hut has a straw roof and a wooden fence. An archway covered in greenery is in front of the door.  The woman wears a white and red flowered dress with a grey shirt and a dark headwrap. She is bent forward with her left arm held behind her back, and her right arm sweeping with the broom.  In the lower left corner of the poster is a drawing of a woman using a broom.|~|Image side of the poster: ""14"" in lower right corner. Text side of the poster ""15"" in lower right corner.|~|Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.","1998/2010","[Addis Ababa (Ethiopia)?]","Woman sweeps in front of a hut [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_009","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0pc/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0rd","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0rd%2Fzh17xw7n","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|Two women and a man stand around a small pit where a fire is burning, possibly burning garbage or waste. One woman wears a grey checked shirt and a yellow skirt. The other woman wears a black and red flowered dress. The man wears a blue jacket and a green and brown striped shirt. They are surrounded by large broad-leafed plants.  In the lower left corner of the poster is a drawing of a woman using a broom.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Image side of the poster: ""16"" in lower right corner. Text side of the poster ""17"" in lower right corner.","1998/2010","[Addis Ababa (Ethiopia)?]","Two women and a man burn something in a pit [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_010","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0rd/manifest"
