Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject geographic,Author,Name.cartographer,Name.repository,Name.subject,Title,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,AltIdentifier.callNo,Alt ID.catalogRecordNumber,Opac url,Coverage.geoscale,AltTitle.descriptive,Alt ID.local,Note,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract,IIIF Manifest URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293frt,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00293frt%2F6r99g53h,cartographic,map,Y,,"Owens, Charles H.|~|Californians Inc.|~|All-Year Club of Southern California.",eng,"California--Maps, Tourist|~|California--Maps, Pictorial",,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,California official tourist picture map,southernmost:N0323700|~|easternmost:W1140700|~|northernmost:N0420000|~|westernmost:W1242200,Californians Inc.|~|All-Year Club,"Includes text and inset maps of ""San Francisco Bay Area"" ""Los Angeles and vicinity.""|~|""California"" is a bird's-eye view.|~|drawing by Charles H. Owens.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6563249"">UCLA Catalog Record</a>","San Francisco|~|cau|~|Los Angeles, Calif","2 maps on 1 sheet : back-to-back ; sheet 97 x 43 cm., folded to 25 x 11 cm.",California,49981598,G4361.A5 N5 AYC 1939,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6563249,1700000,California,,,c1939,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00293frt/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kr6,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kr6%2Fx509bq78,cartographic,map,pd_usfed,,"Renshawe, John H.|~|Scobey, Fred C. (Frederick Charles). 1880-1962.|~|Bowen, Lot.|~|United States. Dept. of Agriculture.",eng,Irrigation--California,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[Irrigation map of California],,[Dept. of Agriculture?],"base compiled chiefly from latest U.S. Land Office, War Department, Forest Service, and Geological Survey topographic maps|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6635643"">UCLA Catalog Record</a>",[Washington D.C.?],"1 map on 3 sheets : col. ; 215 x 183 cm., on sheets 130 x 100 cm. or smaller.",California,706527159,G4361.J4 506 USDA 1922,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3470541,,,,,[1922?],1922,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294kr6/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kz9,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kz9%2F3v74dj69,cartographic,map,public domain,,"Alpine County (Calif.). Board of Supervisors.|~|Murdoch, H. G.",eng,Alpine County (Calif.)--Maps|~|Sierra National Forest Region (Calif.)--Maps|~|Trails--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Alpine County, California",,s.n.],"""Publication ... authorized by the Alpine County Board of Supervisors.""|~|H.G. Murdoch.|~|Relief represented by spot heights.|~|Text, ill., and distance list on verso.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2499294"">UCLA Catalog Record</a>","cau|~|[Markleeville, Calif.?","1 map ; 37 x 28 cm., folded to 22 x 10 cm.",Alpine County (Calif.),26644147,G4363 Alpine Co. .C28 ns HGM 1938,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2499294,,,,,1938,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294kz9/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294m1t,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294m1t%2F6g128v0n,cartographic,map,pd,,Edward Denny & Co.,eng,,,Imperial County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Denny's pocket map of Imperial County, California : compiled from latest official and private data",easternmost:W1142700|~|northernmost:N0332600|~|southernmost:N0323600|~|westernmost:W1160700,Edward Denny & Co.,"Blue line print shows reservations, townships, wagon roads, railroads, canals, and rivers and creeks.|~|by Edward Denny & Co.|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1264781"">UCLA Catalog Record</a>",cau|~|San Francisco,1 map : photocopy ; 40 x 63 cm.,Imperial County (Calif.),24681160,G4363 Imperial Co P2 EDC 1913,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1264781,260000,,,,c1913,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294m1t/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294nt6,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nt6%2Fbs71pb45,cartographic,map,pd,,"Hamilton, Burnett.|~|Alameda County (Calif.). County Surveyor.",eng,Roads—California—Alameda County,,Alameda County (Calif.)--Road maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Highways of Alameda County, California",,County Surveyor],"Depth shown by contours.|~|Burnett Hamilton, County Surveyor.|~|Text and ill. on verso.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6677998"">UCLA Catalog Record</a>","[Oakland, Calif|~|cau",1 map ; 23 x 39 cm.,California|~|Alameda County,722061828,G4363 Alameda Co. .P2 250 1937,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6677998,250000,"Highway map, Alameda County",G4363_Alameda_Co_P2_250_1937_a,,1937,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nt6/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jcc,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jcc%2Fgt597518,cartographic,map,published,,"Neyhart, A. P.|~|Automobile Club of Southern California.",eng,Roads--California--Imperial County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Automobile road map of Imperial County, California",,Automobile Club of Southern California,"Index and text included on verso.|~|[cartography by] A.P. Neyhart.|~|""1543""|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6007633"">UCLA Catalog Record</a>","Los Angeles, Calif|~|cau",1 map ; 34 x 51 cm.,California|~|Imperial County,60817632,G4363.I5P2 1930 .A8,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6007633,316800,"Road map of Imperial County, California",,,[193-?],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jcc/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jfd,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jfd%2F0912567f,cartographic,map,copyrighted,,Amador County. Board of Supervisors.|~|Amador County Chamber of Commerce.,eng,Amador County (Calif.)—Description and travel|~|Amador County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Tourist guide of Amador County, California.",,Amador County Board of Supervisors|~|Amador County Chamber of Commerce,"""The goal of the ""49-er,"" why not yours?""--Panel.|~|Altitudes shown by spot heights.|~|UCLA copy has typewritten index on pink paper affixed next to map panel and obscuring some text and ill.|~|Includes text and ill.|~|Shows roads, mileage, rivers and features of interest.|~|Text and ill. on verso.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6666446"">UCLA Catalog Record</a>","cau|~|Jackson, Calif","1 map ; 44 x 56 cm, on sheet 49 x 64 cm, folded to 25 x 11 cm.",Amador County (Calif.),714628668,G4363 Amador Co. VAR ACBS/ACCC ND,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6666446,,Amador county,G4363_Amador_Co_VAR_ACBS_ACCC_ND_a,,[ca. 1925?],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jfd/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jgx,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jgx%2Fhf06tm26,cartographic,map,copyrighted,,"Nierhake, H.|~|Contra Costa County (Calif.). County Surveyor.|~|Barkley, Joseph W.|~|Concord Chamber of Commerce (Calif.).|~|Contra Costa County Development Association.",eng,Contra Costa County (Calif.)--Maps|~|Concord (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Contra Costa County, California",,The Association,"a map prepared by Contra Costa County Development Association. Map of Concord and vicinity, Contra Costa County, California, 1941 / Jos. W. Barkley, County Surveyor.|~|Includes text, distance table, ill., and 6 lists of industries.|~|""This map is presented to you with the good wishes of the Concord Chamber of Commerce.""|~|Other title: Concord, the residential city, Contra Costa County, California.|~|Map of Concord and vicinity ""revised June 1943.""|~|""H. Nierhake, Jr, 1943.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1036006"">UCLA Catalog Record</a>","Richmond, Calif|~|cau","2 maps : both sides ; 36 x 59 cm. and 30 x 46 cm., on sheet 49 x 64 cm., folded to 10 x 23 cm.",Concord (Calif.)|~|Contra Costa County (Calif.),25420939,G4363 .Contra Costa 150 CCCDA 1944,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1036006,147500|~|11200,"Concord, the residential city, Contra Costa County, California",,,1944,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jgx/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jp1,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jp1%2Fz727df63,cartographic,map,Y,,,eng,Roads—California—Alameda County,,Alameda County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Thomas Bros. Map of East Bay Cities,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6640736"">UCLA Catalog Record</a>",,,Alameda County (Calif.),,G4363.P2 125 THOMAS,,,,,,,1928,1928,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jp1/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jqj,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jqj%2Ftp74h80c,cartographic,map,copyrighted,,"Thomas, Geo. Coupland (George Coupland).|~|Pleasanton Chamber of Commerce.",eng,Alameda County (Calif.)--Maps|~|Oakland Metropolitan Area (Calif.)--Maps|~|Pleasanton (Calif.)—Description and travel,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Metropolitan Oakland area : Alameda County, California.",,Pleasanton Chamber of Commerce,"Text and ill. of Pleasanton on verso.|~|Includes insets: Hayward, Pleasanton, LIvermore, and location map.|~|Copyright by George Coupland Thomas.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650616"">UCLA Catalog Record</a>","Pleasanton, Calif|~|cau","1 map ; 30 x 46 cm, on sheet 41 x 46 cm, folded to 23 x 11 cm.",Pleasanton (Calif.)|~|Alameda County (Calif.)|~|Oakland Metropolitan Area (Calif.),710835311,G4364 Pleasanton VAR PCC 1945?,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650616,,,,,[1945?],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jqj/manifest
