"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Subject.descriptiveTopic","Type.typeOfResource","Subject.conceptTopic","Rights.copyrightStatus","Language","Coverage.geographic","Rights.publicationStatus","Name.repository","Publisher.publisherName","Subject.corporateName","Type.genre","Name.manufacturer","Name.subject","Name.printer","Name.retailer","Name.designer","Rights.rightsHolderContact","Name.artist","Name.creator","Name.sponsor","AltTitle.uniform","Title","Format.dimensions","Description.caption","Publisher.placeOfOrigin","Date.normalized","Date.creation","Description.note","AltTitle.other","Format.extent","AltTitle.descriptive","Alternate Title.former","AltTitle.translated","Opac url","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Patent Medicine Cards","ark:/21198/zz0002hh3p/0248gx3n","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-14-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F0248gx3n",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/03722h8x","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-7-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F03722h8x",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/1p30w05x","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-15-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F1p30w05x",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/1q05kv1t","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-3-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F1q05kv1t",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/4m667s9n","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-5-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F4m667s9n",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/4r59s72d","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-8-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F4r59s72d",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/4x55xn7z","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-16-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F4x55xn7z",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/7f517612","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-19-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F7f517612",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/8t575357","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-6-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F8t575357",""
"Patent Medicine Cards","ark:/21198/zz0002hh3p/9q53sh3v","ark:/21198/zz0002hh3p","","","Page","patentmedcards/masters/21198-zz0002hh3p-2-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hh3p%2F9q53sh3v",""
