Bib ID,Object Type,Parent ARK,Item ARK,File Name,Title,Thumbnail,Item Sequence,AltTitle.other,AltTitle.uniform,Author,Place of origin,Date.creation,Date.normalized,Colophon,Description.note,Note,Summary,Representative image,Masthead,Language,References,Provenance,Table of Contents,Format.extent,Type.typeOfResource,Type.genre,Subject topic,Name.repository,AltIdentifier.local,Rights.copyrightStatus,Rights.servicesContact,Text direction,viewingHint,Opac url,Note.admin,Masthead.1,Representative image.1,Featured image,vol.
1240879_v1,Work,ark:/21198/n1r89q,ark:/21198/n1qp7s,,Kakua mondō shō [vol. 1] | 覚阿問答鈔 [vol. 1],,,覺阿問答鈔 [variant title],,,,Kanbun 3 [1663] | 寬文3,1663,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1240879_v2,Work,ark:/21198/n1r89q,ark:/21198/n1kw5v,,Kakua mondō shō [vol. 2] | 覚阿問答鈔 [vol. 2],,,覺阿問答鈔 [variant title],,,,Kanbun 3 [1663] | 寬文3,1663,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1240879_v3,Work,ark:/21198/n1r89q,ark:/21198/n1g62w,,Kakua mondō shō [vol. 3] | 覚阿問答鈔 [vol. 3],,,覺阿問答鈔 [variant title],,,,Kanbun 3 [1663] | 寬文3,1663,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1240881,Work,ark:/21198/n1r89q,ark:/21198/n1bd0z,,Sokushingi kikigaki furoku | 即身義聞書附録,,,即身義聞書附錄 [variant title],,,,[between 1781 and 1829?],1781/1829,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1242791,Work,ark:/21198/n1r89q,ark:/21198/n16p8h,,Donin yōki | 度人要軌,,,,,,,Kyōhō 6 [1721] | 享保6,1721,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1266484,Work,ark:/21198/n1r89q,ark:/21198/n12w4t,,Daisho denju shiki | 大疏伝授私記,,,大疏傳授私記 [variant title]|~|大日經疏傳授私記 [variant title],Dainichikyō sho denju shiki | 大日経疏伝授私記,,,Keiō 2 [1866] | 慶應2,1866,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1488224,Work,ark:/21198/n1r89q,ark:/21198/n1z63m,,Sōfukuki | 僧服記,,,Sōfuku ki [variant title]|~|Sōbuku ki [variant title]|~|Sōbukuki [variant title],,,,[between 1748 and 1750?],1748/1750,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1503474,Work,ark:/21198/n1r89q,ark:/21198/n1tc9c,,Gendan shū | 玄談集,,,,,,,1888-[1900?],1888/1900,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1504475,Work,ark:/21198/n1r89q,ark:/21198/n1pp8v,,Dai segaki shūrui bunge | 大施餓鬼集類分解,,,Daisegaki shūrui bunge [variant title],,,,Genroku 4 [1691] | 元禄4,1691,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1748661,Work,ark:/21198/n1r89q,ark:/21198/n1jw45,,Bussetsu himitsu giki shūhōkyō sōmoku | 仏説秘密儀軌衆法経総目,,,佛說秘密儀軌衆法經總目 [variant title]|~|Himitsu giki sōmoku | 秘密儀軌総目 [vareient title],,,,Kanbun 13 [1673] | 寛文13,1673,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1757385_v1,Work,ark:/21198/n1r89q,ark:/21198/n1f63z,,Hōjubō shūyōshū rondai [vol. 1] | 宝樹坊宗要集論題 [vol. 1],,,寶樹坊宗要集論題 [variant title],,,,Kanʾen 3 [1750] | 寬延3,1750,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
1757385_v2,Work,ark:/21198/n1r89q,ark:/21198/n19d0n,,Hōjubō shūyōshū rondai [vol. 2] | 宝樹坊宗要集論題 [vol. 2],,,寶樹坊宗要集論題 [variant title],,,,Kanʾen 3 [1750] | 寬延3,1750,,,,,,,jpn|~|chi,,,,,text,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,,,,,,
