Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Name.subject,Subject,Name.architect,Language,Name.creator,Name.artist,Name.sculptor,Name.photographer,Name.repository,Relation.isPartOf,Alt ID.local,Title,Description.note,Description.fundingNote,Format.extent,Format.medium,Coverage.geographic,Description.caption,Date.normalized,Date.creation,Coverage.spatialLatitude,Coverage.spatialLongitude,Format.dimensions
"West (H. H.), Collection Number 1998",ark:/21198/zz002hpss8,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_000198_001.tif,,,,,still image,black-and-white photographs|~|cellulose nitrate film,copyrighted,"Siemsen, Alfred, $d 1906-1966|~|White, Jock",Fishing $z California|~|Big Rock Dam (Calif.),,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_000198_001,"db - Al Siemsen and Jock White fishing for trout at Big Rock Dam, Santa Clara, 1936",Al Siemsen and Jock White on the foreground of the rocky shore of Big Rock Dam during a fishing expedition. Dam structure and hill are visible in the background.,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Santa Clara,"Text from negative sleeve: 198. Big Rock Dam, May 6, 1936. Al Siemsen and Jock White fishing for trout. 4 negatives.",1936-05-06,"May 6, 1936",,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hq8qf,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_000386_001.tif,,,,,still image,black-and-white photographs|~|cellulose nitrate film,copyrighted,"West, Henry Hebard, $d 1917-1998",Fishing $z California|~|Fishing & hunting gear|~|Canyons $z California $z Rancho Cucamonga|~|Streams $z California $z Rancho Cucamonga,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_000386_001,"H. H. West, Jr. fishes in Cucamonga Creek, Rancho Cucamonga vicinity, 1934","An out-of-focus photograph of H. H. West, Jr. fishing in Cucamonga Canyon near Rancho Cucamonga. Along the bottom edge, a stream, hidden in shadow, stretches across the image. On its far bank, a line of small boulders hover over the water. H. H. West, Jr. stands, just left-of-center, atop these boulders. He appears surprised as he looks to the camera. He holds a fishing rod out to the left and over the creek. A creel hangs by his side. The wooded canyon floor stretches behind him and into the distance.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Rancho Cucamonga,"Text from negative sleeve: 386 Cucamonga Canyon, 1934. H.H.West, Jr. fishing in Cucamonga Creek. 2 negatives. On a hike on the trail L to R: H.H.West, Jr., Agnes Whitaker, Mertie West 3 negatives.",1934,1934,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hq8rz,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_000386_002.tif,,,,,still image,black-and-white photographs|~|cellulose nitrate film,copyrighted,"West, Henry Hebard, $d 1917-1998",Fishing $z California|~|Fishing & hunting gear|~|Canyons $z California $z Rancho Cucamonga|~|Streams $z California $z Rancho Cucamonga,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_000386_002,"H. H. West, Jr. and an unidenfied boy fish in Cucamonga Creek, Rancho Cucamonga vicinity, 1934","An out-of-focus photograph, from left to right, of H. H. West, Jr. and an unknown boy fishing in Cucamonga Creek. The unknown boy stands nearer to camera at right. He faces the camera and casts his fishing rod out to the left. His face is obscured by shadow. A creel hangs by his side. Behind and to the left of him, H. H. West, Jr. stands in profile, facing left, on a small boulder along the creek's edge. He reaches an arm out over the water at left. A creel also hangs by his side. The canyon floor stretches behind the boys and into the distance.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Rancho Cucamonga,"Text from negative sleeve: 386 Cucamonga Canyon, 1934. H.H.West, Jr. fishing in Cucamonga Creek. 2 negatives. On a hike on the trail L to R: H.H.West, Jr., Agnes Whitaker, Mertie West 3 negatives.",1934,1934,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hq8sg,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_000386_003.tif,,,,,still image,black-and-white photographs|~|cellulose nitrate film,copyrighted,"West, Mertie Whitaker, $d 1875-1972|~|Whitaker, Agnes Hawley, $d 1878-1967|~|West, Henry Hebard, $d 1917-1998",Rest periods $z California $z Rancho Cucamonga|~|Canyons $z California $z Rancho Cucamonga|~|Streams $z California $z Rancho Cucamonga|~|Hiking $z California $z Rancho Cucamonga,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_000386_003,"H. H. West, Jr., Agnes Whitaker and Mertie West rest while hiking along Cucamonga Creek, Rancho Cucamonga vicinity, 1934","Photograph, from left to right, of H. H. West, Jr., Agnes Whitaker and Mertie West resting on a boulder while hiking along Cucamonga Creek. The group rests on a boulder along the left edge. H. H. West, Jr. sits atop the boulder behind both Agnes Whitaker and Mertie West. Both Mertie and Agnes sit back on the boulder and hold walking sticks. Agnes faces towards the camera and gazes upward. Mertie West sits facing towards the right. At right, rocks line the bank of Cucamonga Creek, which winds into the woods in the distance.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Rancho Cucamonga,"Text from negative sleeve: 386 Cucamonga Canyon, 1934. H.H.West, Jr. fishing in Cucamonga Creek. 2 negatives. On a hike on the trail L to R: H.H.West, Jr., Agnes Whitaker, Mertie West 3 negatives.",1934,1934,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hqccq,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_000420_001.tif,,,,,still image,black-and-white photographs|~|cellulose nitrate film,copyrighted,"Mead, William P., $d 1871-1906",Courtship|~|Seduction $z California $z Duarte|~|Leisure $z California $z Duarte|~|Carriages & coaches $x American $z California $z Duarte|~|Guests $z California $z Duarte,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_000420_001,"Will Mead attempts to seduce an unknown girl, Duarte, circa 1898","An out-of-focus photograph shows Will Mead sitting in a carriage and trying to seduce the unknown female passenger beside him. From left to right, Will Mead and an unknown girl sit side-by-side in a carriage. Will Mead attempts to seduce the woman, but she appears to rebuff his advances as she looks to camera. To the right of them, another unknown woman stands beside the carriage. She looks towards the pair in the carriage. The rear end of a horse stands along the left edge. Mountains rise in the distance.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Duarte,"Text from negative sleeve: 420. Duarte, about 1898. Will Mead came out from Iowa to visit us in 1898. While here he got a rig and drove out to Duarte, Calif. to see some fellow and his sister. They dug up another girl. Will took my camera along. Had 12 exposures, but not knowing how to handle the camera, only 3 negatives are any good. Their rig and the two fellows, Will and his friend. Will Mead at left with two girls and his boy friend. Girls unknown. Will Mead, with derby, kissing one of the girls in the rig. 3 negatives.",1898,[circa 1898],,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hqcd7,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_000420_002.tif,,,,,still image,Group portraits|~|black-and-white photographs|~|cellulose nitrate film,copyrighted,"Mead, William P., $d 1871-1906",Courtship|~|Seduction $z California $z Duarte|~|Guests $z California $z Duarte,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_000420_002,"Will Mead and 3 unidentified persons pose together, Duarte, circa 1898","Photograph of Will Mead posing with an unidentified friend and 2 unknown women while visiting Duarte. The group stands in a row, off-center to the left. Will Mead stands leftmost and his friend stands rightmost. The two women stand between them. Will Mead appears to flirt with the woman standing beside him. Neither of them look to camera. The other 2 at right do look towards camera. The group stands on a dirt walkway that spans the width of the image. Behind them, hedges line the walkway. A gate stands behind and to the right of Will Mead's friend. Trees rise in the background.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Duarte,"Text from negative sleeve: 420. Duarte, about 1898. Will Mead came out from Iowa to visit us in 1898. While here he got a rig and drove out to Duarte, Calif. to see some fellow and his sister. They dug up another girl. Will took my camera along. Had 12 exposures, but not knowing how to handle the camera, only 3 negatives are any good. Their rig and the two fellows, Will and his friend. Will Mead at left with two girls and his boy friend. Girls unknown. Will Mead, with derby, kissing one of the girls in the rig. 3 negatives.",1898,[circa 1898],,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hqcfr,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_000420_003.tif,,,,,still image,Group portraits|~|black-and-white photographs|~|cellulose nitrate film,copyrighted,"Mead, William P., $d 1871-1906",Leisure $z California $z Duarte|~|Carriages & coaches $x American $z California $z Duarte|~|Guests $z California $z Duarte|~|Horses $z California $z Duarte,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_000420_003,"Will Mead and his friend sit in a carriage, Duarte, circa 1898","Photograph, from left to right, of Will Mead and his unidentified friend sitting in a horse-drawn carriage during a visit to Duarte. The carriage sits at center and is viewed at an angle. A horse stands ahead of the carriage at left. The horse is harnessed to the carriage. Behind and to the right of the horse, Will Mead and his unidentified friend sit side-by-side in the carriage. A blanket rests across their laps. A road passes behind the carriage and a house stands in partial view along the left edge. The photographer's shadow casts into frame near the lower right corner.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Duarte,"Text from negative sleeve: 420. Duarte, about 1898. Will Mead came out from Iowa to visit us in 1898. While here he got a rig and drove out to Duarte, Calif. to see some fellow and his sister. They dug up another girl. Will took my camera along. Had 12 exposures, but not knowing how to handle the camera, only 3 negatives are any good. Their rig and the two fellows, Will and his friend. Will Mead at left with two girls and his boy friend. Girls unknown. Will Mead, with derby, kissing one of the girls in the rig. 3 negatives.",1898,[circa 1898],,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hqpv9,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_0515_001.tif,,,,,still image,Group portraits|~|black-and-white photographs|~|cellulose nitrate film,copyrighted,"Burgess, Dorothea Mae Siemsen, $d 1926-2003|~|Siemsen, Richard Alfred, $d b. 1929",Toys|~|Firearms|~|Children $z California $z Glendale|~|Play (Recreation) $z California $z Glendale,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_0515_001,"Richard Siemsen and Dorothy Siemsen pose with their playmates, Glendale, 1939",Photograph of Richard and Dorothy Siemsen posing with their playmates outside their home on Los Encinos Avenue in Glendale. The group is viewed close-up as they stand in a row. Dorothy Siemsen is tallest and stands second from the right. She rests her arms down onto the shoulders of the children on either side of her. Richard Siemsen stands second from the left. He holds a toy rifle by its butt. Its barrel rests on his shoulder. The boy at left and the boy at center both pose with small toy pistols. The Siemsens' home stretches behind them. Landscaping obscures it.,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Glendale,"Text from negative sleeve: 515 Glendale, Calif. June 1939. 1811 Los Encinos Ave. Siemsen's home. Dorothy and Richard Siemsen and their playmates.",1939-06,June 1939,34.188172,-118.225125,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hqpwt,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_0516_001.tif,,,,,still image,certificates|~|black-and-white photographs|~|cellulose nitrate film,copyrighted,"Elks (Fraternal order)|~|Boy Scouts of America|~|West, Henry Hebard, $d 1917-1998",Fraternal Organizations $z California $z Los Angeles|~|Certificates,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_0516_001,"Certificate of Honor presented to Henry Hebard West, Jr. from the Elks Los Angeles Lodge No. 99, 1935","Photograph of the Certificate of Honor presented to Henry Hebard West Jr. from the Benevolent and Protective Order of Elks on April 10, 1935 for his service in the Boy Scouts of America. An embossed seal and ribbons are affixed to the document's lower left corner. It is signed by the Los Angeles Lodge No. 99's Exalted Ruler.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Los Angeles,"Text from negative sleeve: 516 Los Angeles, Calif. April 10, 1935 Certificate of Honor from Elks Lodge to H.H.West Jr",1935-04-10,"April 10, 1935",,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002hqpxb,ark:/21198/zz002hpcf9,3,Pending,Work,hhwest/image/uclamss_1998_0517_001.tif,,,,,still image,black-and-white photographs|~|cellulose nitrate film|~|diplomas,copyrighted,"West, Henry Hebard, $d 1917-1998|~|Glendale Unified School District|~|Hildreth, Elon Earl, $d 1901-1989|~|Ford, Willard S. $q (Willard Stanley), $d 1890-1950",Diplomas|~|Students $x American $z California $z Glendale|~|Graduation ceremonies $z California $z Glendale|~|Education $x American $z California $z Glendale,,zxx,,,,"West, H. H. $q (Henry Hebard), $d 1872-1958","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclamss_1998_0517_001,"Henry Hebard West, Jr.'s Glendale High School diploma, 1938","Photograph of Henry Hebard West, Jr.'s diploma from Glendale High School. The diploma is dated June 16, 1938 and is signed by the President of the Board of Education (name illegible to cataloger), Willard S. Ford (Superintendent of Schools) and Elon Earl Hildreth (Principal). The school district's seal sits in the lower left corner.",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,California--Glendale,"Text from negative sleeve: 517 Glendale, Calif. June 16, 1938. H.H.West's Glendale High School Diploma",1938-06-16,"June 16, 1938",,,
