"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Rights.copyrightStatus","Subject","Name.subject","Type.genre","Name.repository","Rights.servicesContact","Language","Rights.permission","Name.photographer","Name.artist","Name.architect","Title","AltIdentifier.local","Format.extent","Format.medium","Relation.isPartOf","Description.fundingNote","Coverage.geographic","Description.latitude","Description.longitude","Description.note","Date.creation","Date.normalized","Description.caption","Coverage.temporal","AltIdentifier.collection"
"Connell (Will) Papers, 1928-1961","21198/zz002h2fpt","","Collection","","","still image","copyrighted","Commercial photography $v Specimens|~|Photographers $z California, Southern","","acetate film|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Y","Connell, Will, $d 1898-1961","","","Connell (Will) Papers","","","","","Access to this collection is generously supported by Arcadia funds.","","","","Will Connell (1898-1961) was a self-taught photographer. He opened a studio in downtown Los Angeles in 1925 and became a member of the Camera Pictorialists. He taught at Art Center College in Pasadena from 1931 until his death. His work includes movie publicity shots, magazine assignments and other commercial photography. Connell photographed every industry in California at the time. He completed a number of literary projects and artistic endeavors as well. Connell is known for his use of photomontage and there are examples of this aspect of his work among the nitrate images in the form of the photomontage itself and individual images that were used in creating the montage.","[between 1928-1961]","1928/1961","","","893"
"Connell (Will) Papers, 1928-1961","21198/zz002h2fqb","21198/zz002h2fpt","Work","connell/image/uclamss_893_0206.tif","","still image","copyrighted","Conductors|~|Composers","Klemperer, Otto, $d 1885-1973","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Otto Klemperer, 1925-1939","uclamss_893_0206","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Text from negative sleeve: Klemperer (Otto Klemperer) German conductor and composer. Director of LA Philharmonic 1933-1939.|~|Portrait of Otto Klemperer","[between 1925-1939]","1925-1939","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2frv","21198/zz002h2fpt","Work","connell/image/uclamss_893_0207.tif","","still image","copyrighted","Conductors|~|Composers","Klemperer, Otto, $d 1885-1973","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Otto Klemperer, 1925-1939","uclamss_893_0207","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Text from negative sleeve: Klemperer (Otto Klemperer) German conductor and composer. Director of LA Philharmonic 1933-1939.|~|Portrait of Otto Klemperer","[between 1925-1939]","1925/1939","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2fsc","21198/zz002h2fpt","Work","connell/image/uclamss_893_0208.tif","","still image","copyrighted","Conductors|~|Composers","Klemperer, Otto, $d 1885-1973","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Otto Klemperer, 1925-1939","uclamss_893_0208","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Portrait of Otto Klemperer","[between 1925-1939]","1925/1939","Text from negative sleeve: Klemperer (Otto Klemperer) German conductor and composer. Director of LA Philharmonic 1933-1939.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2ftw","21198/zz002h2fpt","Work","connell/image/uclamss_893_0209.tif","","still image","copyrighted","Architects","Sprague, George Newman, $d 1903-1967","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","George Sprague seated at a piano, circa 1930-1939","uclamss_893_0209","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Photograph of George Sprague, probably the architect, seated at a piano with sheet music titled ""Santly's Successful Songs."" There is a painting on the wall behind him and a vase of flowers on the piano.|~|This is probably George Newman Sprague, an architect who earned his Master's Degree in Architecture from Harvard University,  opened his office in Los Angeles in 1930, taught at USC and the Art Center, married Katherine Devlin in 1931, and who lived in Chadd's Ford, PA from 1947 on. Will Connell taught at the art Center during the time that Sprague was there.","[circa 1930-1939]","1930/1939","Text from negative sleeve: George Sprague","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2fvd","21198/zz002h2fpt","Work","connell/image/uclamss_893_0210.tif","","still image","copyrighted","Architects","Sprague, George Newman, $d 1903-1967","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","George Sprague seated at a piano, and an unidentified woman, circa 1930-1939","uclamss_893_0210","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","This is probably George Newman Sprague, an architect who earned his Master's Degree in Architecture from Harvard University,  opened his office in Los Angeles in 1930, taught at USC and the Art Center, married Katherine Devlin in 1931, and who lived in Chadd's Ford, PA from 1947 on. Will Connell taught at the art Center during the time that Sprague was there.|~|Photograph of George Sprague, probably the architect, seated at a piano, and an unidentified woman, both with drinks at a social gathering. There are 2 paintings on the wall behind them.","[circa 1930-1939]","1930/1939","Text from negative sleeve: George Sprague","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2fwx","21198/zz002h2fpt","Work","connell/image/uclamss_893_0211.tif","","still image","copyrighted","","Tice, Opal Weimer Fostvedt, $d 1900-1978|~|Fostvedt, William C., $d 1902-1964","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Opal Weimer Fostvedt Tice and William C. Fostvedt, 1933-1946","uclamss_893_0211","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.|~|Double portrait of Opal Weimer Fostvedt Tice, standing, with her hand on the shoulder of her husband William C. Fostvedt","[between 1933-1946]","1933/1946","Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2fxf","21198/zz002h2fpt","Work","connell/image/uclamss_893_0212.tif","","still image","copyrighted","","Williams, Bill, $d 1915-1992","drawings (visual works)|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","Tice, Opal Weimer Fostvedt, $d 1900-1978","","Drawing of Bill Williams by Opal Weimer Fostvedt Tice, 1933-1946","uclamss_893_0212","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Bust-length drawing of actor Bill Williams|~|Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.","[between 1933-1946]","1933/1946","Signed: ""Opal Fostvedt. Bill Williams 7-16-31.""|~|Text from negative sleeve: Fostvedt. Frankenfield. Jos. Paget-Fredericks.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2fzz","21198/zz002h2fpt","Work","connell/image/uclamss_893_0213.tif","","still image","copyrighted","","","drawings (visual works)|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","Tice, Opal Weimer Fostvedt, $d 1900-1978","","Portrait drawing of a man by Opal Weimer Fostvedt Tice, 1933-1946","uclamss_893_0213","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Portrait drawing of a man by Opal Weimer Fostvedt Tice","[between 1933-1946]","1933/1946","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g0z","21198/zz002h2fpt","Work","connell/image/uclamss_893_0214.tif","","still image","copyrighted","","Tice, Opal Weimer Fostvedt, $d 1900-1978","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Opal Weimer Fostvedt Tice, 1933-1946","uclamss_893_0214","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Bust-length portrait of Opal Weimer Fostvedt Tice, in profile, in a floral dress|~|Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.","[between 1933-1946]","1933/1946","Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks","",""
