Object Type,Parent ARK,Item ARK,File name,local ID,Title,Creator,Publisher.place,volume | issue,Date.issued,Date.issued (start),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Insitution/Repository,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract,Note.content
Work,ark:/21198/z1q83f4g,ark:/21198/z1fv0n29,ihc_descriptiva_index.pdf,ihc_descriptiva_index,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Indice General","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),,1911-1913,1911/1913,spa,text,index,310 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",Alphabetical list of all terms ready in Volume I to XIV
Work,ark:/21198/z1q83f4g,ark:/21198/z1b29w9w,ihc_descriptiva_vol01.pdf,ihc_descriptiva_vol01,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo I - Pinar del Rio","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 01,1911-1913,1911/1913,spa,text,index,840 pages|~|vol. 01,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Artemisa, Cabañas, Candelaria, Consolacion del Norte, Consolacion del Sur, Guane, Guanajay"
Work,ark:/21198/z1q83f4g,ark:/21198/z16994hn,ihc_descriptiva_vol02.pdf,ihc_descriptiva_vol02,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo II - Pinar del Rio","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 02,1911-1913,1911/1913,spa,text,index,836 pages|~|vol. 02,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Los Palacios, Mantua, Mariel, Pinar del Rio, San Cristobal, San Juan y Martinez, San Luis, Viñales"
Work,ark:/21198/z1q83f4g,ark:/21198/z12j8csx,ihc_descriptiva_vol03.pdf,ihc_descriptiva_vol03,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo III - Provincia Habana","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 03,1911-1913,1911/1913,spa,text,index,900 pages|~|vol. 03,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Aguacate, Alquizar, Batabano, Bauta, Bejucal, Caimito del Guayabal, Guanabacoa, Güines"
Work,ark:/21198/z1q83f4g,ark:/21198/z1xs7wcj,ihc_descriptiva_vol04.pdf,ihc_descriptiva_vol04,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo IV - Provincia Habana","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 04,1911-1913,1911/1913,spa,text,index,774 pages|~|vol. 04,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Güira de Melena, Habana, Jaruco, Isla de Pinos, La Salud"
Work,ark:/21198/z1q83f4g,ark:/21198/z1t174pz,ihc_descriptiva_vol05.pdf,ihc_descriptiva_vol05,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo V - Provincia Habana","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 05,1911-1913,1911/1913,spa,text,index,766 pages|~|vol. 05,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Madruga, Marianao, Nueva Paz, Regla, San Antonio de los Baños, San Jose de las Lajas, San Nicolas, Santa Maria del Rosario, Santiago de las Vegas"
Work,ark:/21198/z1q83f4g,ark:/21198/z1pc53cz,ihc_descriptiva_vol06.pdf,ihc_descriptiva_vol06,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo VI - Matanzas","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 06,1911-1913,1911/1913,spa,text,index,688 pages|~|vol. 06,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Agramonte, Alacranes, Bolondron, Cardenas, Colon, Guamacaro, Jagüey Grande, Manguito, Jovellanos"
Work,ark:/21198/z1q83f4g,ark:/21198/z1jm4bpp,ihc_descriptiva_vol07.pdf,ihc_descriptiva_vol07,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo VII - Matanzas","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 07,1911-1913,1911/1913,spa,text,index,716 pages|~|vol. 07,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Marti, Matanzas, Pedro Betancourt, Perico, Sabanilla del Encomendador, San Antonio de Cabezas, San Jose de los Ramos, Santa Ana, Union de Reyes"
Work,ark:/21198/z1q83f4g,ark:/21198/z1dv3kvm,ihc_descriptiva_vol08.pdf,ihc_descriptiva_vol08,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo VIII - Santa Clara","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 08,1911-1913,1911/1913,spa,text,index,864 pages|~|vol. 08,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Abreus, Caibarien, Calabazar, Camajuani, Cienfuegos, Cifuentes, Corralillo, Cruces, Encrucijada, Esperanza"
Work,ark:/21198/z1q83f4g,ark:/21198/z1932v35,ihc_descriptiva_vol09.pdf,ihc_descriptiva_vol09,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo IX - Santa Clara","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 09,1911-1913,1911/1913,spa,text,index,828 pages|~|vol. 09,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Palmira, Placetas, Quemado de Güines, Rancho Veloz, Ranchuelo, Rodas, Sagua la Grande, San Antonio de Vueltas, Sancti Spiritus, San Fernando de Camarone"
Work,ark:/21198/z1q83f4g,ark:/21198/z15b23d8,ihc_descriptiva_vol10.pdf,ihc_descriptiva_vol10,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo X - Santa Clara","Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",Havana (Cuba),vol. 10,1911-1913,1911/1913,spa,text,index,778 pages|~|vol. 10,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu","This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.","Municipalities: Remedios, San Juan de los Yeros, Santa Clara, Santa Isabel de las Lajas, Santo Domingo, Trinidad, Yaguajay, Zulueta"
