Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Author,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Language,Rights.publicationStatus,Subject,Relation.isPartOf,Name.subject,Name.illustrator,Name.creator,Name.photographer,Coverage.geographic,Name.repository,Name.engraver,Name.printer,Title,Description.note,Alt ID.local,Date.normalized,Date.creation,AltTitle.other,Description.caption,Format.dimensions,Format.extent,Description.contents,Publisher.placeOfOrigin,Alt ID.oclc,Publisher.publisherName,Description.caption,AltTitle.translated,Opac url,AltTitle.uniform,Description.tableOfContents
Rare Books (YRL Special Collections),ark:/21198/zz0009bf7f,ark:/21198/zz0009b7tb,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bf7f-1-master.tif,11,,,,"Constiner, Merle|~|Clark, Dale|~|Long, Julius|~|Champion, D. L.",,,private,,still image,,Covers (Illustration),eng,,"Detective and mystery stories, American--Periodicals",,,,,,,,,,Black Mask 1944 May [cover],,PS648_D4B53_1944_05,1944-05,1944 May,,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bh4v,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bh4v-1-master.tif,1,,,,,,,private,,still image,,Book illustrations,,,,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA",,"Roux, G.",,,,,,,pp 57 ill. and text,,PQ2269_G91_C7_pp57,,,"Chapter VI. Luna Company, Limited",,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bh5c,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bh5c-1-master.tif,2,,,,,,,private,,still image,,Book illustrations,eng,,,,,"Roux, G.",,,,,,,pp 92 ill. and text,,PQ2269 .G91 C7_pp92,,,Chapter IX. The Great Magnet,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bh6w,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bh6w-1-master.tif,3,,,,,,,private,,still image,,Book illustrations,eng,,,,,"Roux, G.",,,,,,,pp 95 ill.,,PQ2269_G91_C7_pp95,,,,Where are your visitors now?,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bh7d,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bh7d-1-master.tif,4,,,,,,,private,,still image,,,eng,,,,,"Roux, G.",,,,,,,pp 106 text,,PQ2269 .G91 C7_pp106,,,Lyccum. It can gather up the solar heat...,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bh8x,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bh8x-1-master.tif,5,,,,,,,private,,still image,,Book illustrations,eng,,,,,"Roux, G.",,,,,,,pp 107 ill.,,PQ2269 G91 C7_pp107,,,,There are twenty-five exactly like this one.,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bh9f,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bh9f-1-master.tif,6,,,,,,,private,,still image,,Book illustrations,eng,,,,,"Roux, G.",,,,,,,pp 123 ill.,,PQ2269_G91_C7_pp123,,,,Great chief! great chief! we will always remain with thee.,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bhbz,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bhbz-1-master.tif,7,,,,,,,private,,still image,,Book illustrations,eng,,,,,"Roux, G.",,,,,,,pp 161 ill. and text,,PQ2269_G91_C7_pp161,,,Chapter XVI.  Kaddour at Bay,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bhcg,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bhcg-1-master.tif,8,,,,,,,private,,still image,,Book illustrations,eng,,,,,"Roux, G.",,,,,,,pp 188 ill.,,PQ2269_G91_C7_pp188,,,,The Mahdists were evidently disturbed.,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bhd0,ark:/21198/zz0009b7wc,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bhd0-1-master.tif,9,,,,,,,private,,still image,,Book illustrations,eng,,,,,"Roux, G.",,,,,,,pp 283 ill.,,PQ2269_G91_C7_pp282,,,,Little by little the golden aureole crept on.,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bqxn,ark:/21198/zz0009b7xw,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bqxn-1-master.tif,1,,,,,,,private,,still image,,Book illustrations,eng,,,,,,,,,,,,plate 11 : Loisirs Litteraires au XXe Siecle,,Z992_U99co_pl11,,,,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bqz5,ark:/21198/zz0009b7xw,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bqz5-1-master.tif,2,,,,,,,private,,still image,,Book illustrations,fre,,,,,,,,,,,,plate 12 : Littérature et Musique <<At Home>>,,Z992_U99co_pl12,,,,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009br05,ark:/21198/zz0009b7xw,2,Completed,Page,rarebook/masters/srgb/21198-zz0009br05-1-master.tif,3,,,,,,,private,,still image,,Book illustrations,fre,,,,,,,,,,,,pp 139 : ill. and text,,Z992_U99co_pp 139,,,"Il le sera, mon doux poète, repris-je allègrement,",,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009br1p,ark:/21198/zz0009b7xw,2,Completed,Page,rarebook/masters/srgb/21198-zz0009br1p-1-master.tif,4,,,,,,,private,,still image,,Book illustrations,fre,,,,,,,,,,,,pp 141 : ill. and text,,Z992_U99co_pp 141,,,Ce seront des voix du monde entier qui se trouveront...,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009br26,ark:/21198/zz0009b7xw,2,Completed,Page,rarebook/masters/srgb/21198-zz0009br26-1-master.tif,5,,,,,,,private,,still image,,Book illustrations,fre,,,,,,,,,,,,pp 142 : ill. and text,,Z992_U99co_pp 142,,,cylindres obtenus seront clichés à grand nombre...,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009br3q,ark:/21198/zz0009b7xw,2,Completed,Page,rarebook/masters/srgb/21198-zz0009br3q-1-master.tif,6,,,,,,,private,,still image,,Book illustrations,fre,,,,,,,,,,,,pp 167 : ill. and text,,Z992_U99co_pp 167,,,"scrupules, pendant que Picolet,...",,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bshd,ark:/21198/zz0009b7zd,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bshd-1-master.tif,1,,,,,,,private,,still image,,Book illustrations,eng,,,,,,,,,,,,p 14 : ill.,,F868 R6 W15_p14,,,,Guests at California's Biskra who arrived on Camel-back.,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009bttj,ark:/21198/zz0009b8bk,2,Completed,Page,rarebook/masters/srgb/21198-zz0009bttj-1-master.tif,1,,,,,,,private,,still image,,Book illustrations|~|hand coloring|~|Engravings,eng,,Maori (New Zealand people)--Warfare|~|Maori (New Zealand people)--Clothing & dress,,,,"Parkinson, Sydney, 1745?-1771",,,,"Chambers, T.",,plate XV : [A New Zealand Warrior],,G247 A11 P2 1784_plxv,,,,"A New Zealand Warrior in his proper Drefs, & Compleaty Armed, According to their Manner.",28 x 36 cm. (11 x 14 in.),1 print : hand-colored,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c3h6,ark:/21198/zz0009b8c3,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c3h6-1-master.tif,1,,,,,,,private,,still image,,Book illustrations|~|hand coloring,fre,,,,,,,,,,,,ill. leaf and title page,Image is digital photograph not scan.,Z233_M3_M37_1816_titlepage,,,,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c3k7,ark:/21198/zz0009b8c3,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c3k7-1-master.tif,2,,,,,,,private,,still image,,Book illustrations|~|Fictitious imprints (Publishing)|~|hand coloring,fre,,,,,,,,,,,,ill. leaf and title page : background removed,,Z233_M3_M37_1816_titlepage_fixed,,,,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7bj,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7bj-1-master.tif,1,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 1,,SCB_162334_planche_1,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7c2,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7c2-1-master.tif,2,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 2,,SCB_162334_planche_2,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7dk,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7dk-1-master.tif,3,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 3,,,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7f3,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7f3-1-master.tif,4,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 4,,SCB_162334_planche_4,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7gm,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7gm-1-master.tif,5,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 5,,SCB_162334_planche_5,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7h4,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7h4-1-master.tif,6,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 6,,SCB_162334_planche_6,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7jn,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7jn-1-master.tif,7,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 7,,SCB_162334_planche_7,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7k5,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7k5-1-master.tif,8,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 8,,SCB_162334_planche_8,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7mp,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7mp-1-master.tif,9,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 9,,SCB_162334_planche_9,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7n6,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7n6-1-master.tif,10,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 10,,SCB_162334_planche_10,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7pq,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7pq-1-master.tif,11,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 11,,SCB_162334_planche_11,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7q7,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7q7-1-master.tif,12,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 12,,SCB_162334_planche_12,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7rr,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7rr-1-master.tif,13,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 13,,SCB_162334_planche_13,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7s8,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7s8-1-master.tif,14,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 14,,SCB_162334_planche_14,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7ts,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7ts-1-master.tif,15,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 15,,SCB_162334_planche_15,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7v9,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7v9-1-master.tif,16,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 16,,SCB_162334_planche_16,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7wt,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7wt-1-master.tif,17,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 17,,SCB_162334_planche_17,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009c7xb,ark:/21198/zz0009b8dm,2,Completed,Page,rarebook/masters/srgb/21198-zz0009c7xb-1-master.tif,18,,,,,,,private,,still image,,Pochoir,,,,,,,,,,,,,planche 18,,SCB_162334_planche_18,,,,,31 x 41 cm. (12 x 16 in.),1 print : col.,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cjz6,ark:/21198/zz0009b8f4,2,Completed,Page,rarebook/masters/srgb/21198-zz0009ckpj-1-master.tif,1,,,,,,,private,,still image,,Periodical illustrations,fre,,,,,,,,,,,,No. 37 : 15 October 1898 ,,NC1499 F74p_15101898,,,page 3 : Pourquoi l'on a fait 1789 [full page],,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cnv3,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cnv3-1-master.tif,1,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of Chinese, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_1,,,,"Summary of findings: ""Total Los Angeles County, 5,330 City of Los Angeles, 4,736""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cnwm,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cnwm-1-master.tif,2,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of Filipinos, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_2,,,,"Summary of findings: ""Total Los Angeles County, 5,985 City of Los Angeles, 4,498""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cnx4,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cnx4-1-master.tif,3,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from Asia, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_3,,,,"Summary of findings: ""Foreign born population in Los Angeles from Asia (White), 4,682""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cnzn,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cnzn-1-master.tif,4,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from Austria, German, Hungary, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_4,,,,"Summary of findings: ""Foreign born in Los Angeles from Germany, 17,528, Austria, 5,389, Hungary, 3,978, Total, 26,898""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp0n,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp0n-1-master.tif,5,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from British Isles, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_5,,,,"Summary of findings: ""Foreign born in Los Angeles from England and Wales, 20,454, Irish Free State (Eire), 4,194, Northern Ireland, 1,646, Scotland, 5,980, Total, 32,274""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp15,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp15-1-master.tif,6,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born Canadians, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_6,,,,"Summary of findings: ""Total Canadian population in Los Angeles - 27,755 (foreign born)""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp2p,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp2p-1-master.tif,7,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from France, Belgium, Switzerland, Netherlands, U.S. Census data, 1940",,uclamss_HB3037_L7A5_1940_7,,,,"Summary of findings: ""Foreign born in Los Angeles from Netherlands, 2,013, Switzerland, 1,940, Belgium, 816, France, 3,196, Total, 7,965""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp36,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp36-1-master.tif,8,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from Greece, Rumania, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_8,,,,"Summary of findings: ""Foreign born in Los Angeles from Greece, 1,905, Rumania, 2,740, Total, 4,655""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp4q,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp4q-1-master.tif,9,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born Mexicans, U.S. Census data, 1940 : (Note: not including non-white) [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_9,,,,"Summary of findings: ""Total Mexican population in Los Angeles - 36,840 (foreign born)""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp57,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp57-1-master.tif,10,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from Norway, Sweden, Denmark, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_10,,,,"Summary of findings: ""Foreign born in Los Angeles from Norway, 3,435, Sweden, 7,844, Denmark, 3,138, Total, 14,417""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp6r,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp6r-1-master.tif,11,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from Poland, Yugoslavia, Czechoslovakia, U.S. Census data, 1940",,uclamss_HB3037_L7A5_1940_11,,,,"Summary of findings: ""Foreign born in Los Angeles from Poland, 7,448, Yugoslavia, 3,441, Czechoslovakia, 1,536, Total, 12,425""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp78,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp78-1-master.tif,12,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of foreign born from Russia, Finland, Lithuania, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_12,,,,"Summary of findings: ""Foreign born in Los Angeles from Russia, 25,595, Lithuania, 1,158, Finland, 1,049, Total, 27,802""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp8s,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp8s-1-master.tif,13,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of Japanese, U.S. Census data, 1940 [Los Angeles, Calif.]",,uclamss_HB3037_L7A5_1940_13,,,,"Summary of findings: ""Los Angeles (23,321) and Long Beach (696) only""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009cp99,ark:/21198/zz0009b8h5,2,Completed,Page,rarebook/masters/srgb/21198-zz0009cp99-1-master.tif,14,,,,,,,private,,cartographic,,census maps,,,,,,,,,,,,,"Distribution of Negroes, U.S. Census data, 1940",,uclamss_HB3037_L7A5_1940_14,,,,"Summary of findings: ""Total Negro population in Los Angeles - 63,774""",,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009d6bh,ark:/21198/zz0009b8jp,2,Completed,Page,rarebook/masters/srgb/21198-zz0009d6bh-1-master.tif,1,,,,,,,private,,still image,,Book illustrations,,,,,,,,,,,,,"Bullfighters : Muerte de Pepe Hillo, 1801",,SCB_62380_01,,,,,,,,,,,,,,,
