Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,Filename,Item Sequence,IIIF Access URL,Rights.copyrightStatus,Subject,Subject.uniformTitle,Name.subject,Rights.countryCreation,Language,Name.repository,Type.typeOfResource,Rights.permission,Name.creator,Name.interviewer,Type.genre,Name.sponsor,Date.creation,Relation.isPartOf,Title,AltIdentifier.local,Opac url,Description.fundingNote,Finding Aid URL,Date.normalized,Format.extent,Summary,Description.note,Rights.servicesContact,Coverage.geographic,Description.latitude,Description.longitude,Relation.relatedTo,media.duration,media.format,IIIF Manifest URL,Waveform
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz0015w1xw,,,,Collection,,,,copyrighted,,,,,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,1955-2002,,"SOUL Publications, Inc. records",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1955/2002,,"SOUL Publications was established in 1966 in Los Angeles by Regina and Ken Jones. The impetus for SOUL was the Watts Riots, which inspired local newsman Ken Jones to develop a vehicle for documenting and expressing the African American perspective in a self-representative way. Equipped with his vision and the industrious drive of his wife, Regina Jones, the company initially focused on providing promotion and recognition for Black musicians, who received scant publicity at that time. Its publications grew to include other aspects of Black cultural production, including film, television, literature, and the visual arts.",,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwr6,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_001_a,,,copyrighted,,,,,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,1969 February 24,,Interviews with Isaac Hayes and Calvin Lockhart,"Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1969-02-24,(1 audiocassette; Duration: 00:30:59),,"Transcribed from container: ""Smokey Robinson at the Century Plaza""

It is unclear who the speaker is on side A. They talk about growing up queer and being questioned about their sexuality. They also talk about being a a drum major and performing music. At 2:28, the initial interview cuts off and goes into an interview with Isaac Hayes. Hayes discusses a Sam Marcos cover of AIP; getting poor financial advice; being advised to sue Stax Records; having financial issues with his new contract with ABC; Jim Magazine framing him as a spinthrifty amidst his financial hardship; being invesitigated by the IRS; the Black Moses image; whether he feels his music is ""Black music""; and how he feels about the new label handling his work. 

On side B, Calvin Lockhart discusses being Bahamanian, his kinship to Black American people, the film Joanna, other films he's acted in, and the profits made from the film Shaft.","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.","Century City (Los Angeles, Calif.)",34.05743273,-118.4158266,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwsq,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_002_a|~|uclapasc_342_057_002_b,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwsq%2Fgq32nz6b,copyrighted,,,"Braun, Mark Lincoln",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,undated,,Interview with Mark Lincoln Braun (tape 1 of 2),"Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,,(1 audiocassette; Duration: 01:05:15),,"Transcribed from container: ""Mr. B (i.e. Mark Lincoln Braun) #1 and Mr. B #2, undated."" 

There is content on side A and B.","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwt7,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_003_a|~|uclapasc_342_057_003_b,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwt7%2Fh456n28d,copyrighted,,,"Davis, Sammy, 1925-1990|~|Braun, Mark Lincoln",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,circa 1979 August,,"Interviews with Mark Lincoln Braun (tape 2 of 2) and Sammy Davis, Jr.","Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1979-08-01,(1 audiocassette; Duration: 01:05:57),,"Transcribed from container: ""Mr. B (i.e. Mark Lincoln Braun) #3 and Sammy D. (i.e. Sammy Davis, Jr.), August 1979."" 

On side A, Mark Lincoln Braun talks about people who have have been influential in his career; producing Sarah Vaughn; what his goals are in this stage of his career; artists he feels have the potential for longevity; his kids; his future goals; his proudest career moment; and what direction he sees music going. 

On side B, there is static, and the tape begins at 8:50. Sammy Davis, Jr. talks about his major influences, such as Billy Eckstein, Frank Sinatra, Al McCibben, and the Nicholar Brothers; and his favorite Eckstein story.","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwvr,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_004_a|~|uclapasc_342_057_004_b,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwvr%2Fnp34tc5s,copyrighted,,,"Knight, Gladys, $d 1944-|~|Gladys Knight and the Pips",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,circa 1980 April,,Interview with Gladys Knight and the Pips,"Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1980-04-01,(1 audiocassette; Duration: 01:34:56),,"Transcribed from container: ""Gladys Knight & the Pips, April 1980."" 

On side A Gladys Knight and the Pips talks about changing representation by Casablanca. The Pips are now ""Gladys Knight and the Pips"" under CBS. They discuss business decisions made my lawyers to benefit the togetherness of the groups, album success and sales of the groups, 
On side B, Knight talks about going to The Flamingo and seeing groups, such as Glen Smith and the Fables (a Canadian group); producing a project with Colombia Records; producing Glen; and what she thinks of Sundre Sing. Regina, Gladys, and The pips discuss Hero expectations of artists and the assumptions of fans, maintaining one's integrity, Gladys's album Imagination, Glady's idea to gather staple artists to put on a gospel program, because ""that't where we came from"", the conclude discuss where they are living and the base they were able to produce in Vegas. ","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvww8,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_005_b|~|uclapasc_342_057_005_a,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvww8%2Ftd265x18,copyrighted,,,"Ross, Diana, $d 1944-",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,circa 1970,,Interview with Diana Ross and attendees about the Diana Ross Show,"Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1970,(1 audiocassette; Duration: 00:57:46),,"Transcribed from container: ""Diana Ross Show, Vegas 1970."" 

On side A, the recording begins with a KGMJ Soulradio announcement about the Jackson 5. The recording then moves to Diana Ross, who sings and talks about how the production has been her dream since she was young.  

On side B, different audience members give their take of the show and how they feel about Diana Ross's first solo performance since leaving the Supremes. Diana Ross also speaks on her performance and booking gigs for the Jackson 5.","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",Las Vegas (Nev.),36.175,-115.136389,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwxs,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_006_a|~|uclapasc_342_057_006_b,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwxs%2Fq7159j7f,copyrighted,,,"Franklin, Carolyn",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,circa 1970,,"""Carolyn Franklin""","Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1970,(1 audiocassette; Duration: 01:04:38),,"Transcribed from container: ""Carolyn Franklin, 1970s?"" 

There is content on side A and B.","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwz9,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_007_a|~|uclapasc_342_057_007_b,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwz9%2F0g14cs6g,copyrighted,,,"Davis, Sammy, 1925-1990",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,1970 December 20,,"""Sammy Davis Jr., Vegas""","Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1970-12-20,(1 audiocassette; Duration: 00:53:55),,"Transribed from container: ""Sammy Davis Jr., Vegas, December 20 1970."" 

There is content on side A and B.","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",Las Vegas (Nev.),36.10320862,-115.1736259,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvx09,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_008_a|~|uclapasc_342_057_008_b,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvx09%2Fgp58tf17,copyrighted,,,"King, B. B.",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,,circa 1970 January,,Interview with B.B. King,"Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1970-01-01,(1 audiocassette; Duration: 01:05:56),,"Transcribed from container: ""B.B. King, January 1970."" 

On side A, the recording begins with a phone call. The interview with B.B. King begins at 3:30. King talks about growing up in Mississippi; how he got into music; working on a farm to avoid being shipped to the war; moving to Memphis; and starting his gigs on the road. 

On side B, King talks about getting gigs; becoming well recognized in Memphis; and seeing the rise of artists, like Roosevelt Sikes, Joe Liggens, Charles Brown, and T-Bone Walker. He also discusses his experience recording Martha King and Take a Swing with Me; signing his first contract with Modern Record Company in 1949; the evolution of music techinology; and the instruments primarily uses on tracks. He share his opinion on the discovery of Black music; how people have paved the way for white artists to steal from those artists; what the Blues is; when he thinks he'll have national success; Ike and Tina Turner; and his rise to being accepted as an artist. At 19:08, the interview cuts off, then returns. ","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,,
"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvx1t,ark:/21198/zz0015w1xw,,,Work,uclapasc_342_057_009_a|~|uclapasc_342_057_009_b,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvx1t%2Fvc519s01,copyrighted,,,"Tyson, Cicely",,eng,"University of California, Los Angeles. Library Special Collections",sound recording,,,,sound recording,Jamaica Film Festival,"1972 September 1, 7, and 19",,"Interviews with participants at the Jamaica Film Festival, Cicely Tyson, and David Ruffen by Ken Jones","Collection PASC 342, Box 57",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,https://oac.cdlib.org/findaid/ark:/13030/kt167nd8xg/,1972-09-01 / 1972-09-19,(1 audiocassette; Duration: 01:04:35),,"Transcribed from container: ""Cicely Tyson and Jamaica Film Festival, September 1972."" 

On side A, Ken Jones interviews American and Carribean actors and participants of the first annual Jamaican Film Festival. Sam Greenely, Calvin Lockhart, Paula Kelly, Brock Peters, Bernie Casey, Grace McGee, Cicely Tyson, Stan Lathan, Richard Murcia, and Bernie Masey win awards. At 30:30, the tape cuts to Cicely Tyson's interview; this interview is the same as the recording on side A of uclapasc0342_060_008. 

On side B, Ken Jones interviews David Ruffen about his success since leaving the Temptations and songs on his new album. At 4:15, the recording goes back to Cicely Tyson's interview, which is the same as the recording on side B ofuclapasc0342_060_008.","Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",Kingston (Jamaica),,,,,,,
