Object Type,Local identifier,Title,Item ARK,Parent ARK,volume/year,Thumbnail,File Name,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject topic,IIIF Manifest URL
Work,uclalsc_3682798_vol01|~|vol. 01,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, First Day",ark:/21198/z1df8s0n,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z36b8,,,,,,,1961-09-25,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,80 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df8s0n/manifest
Work,uclalsc_3682798_vol02|~|vol. 02,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Second Day",ark:/21198/z18p81cn,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80g3m,,,,,,,1961-09-26,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,97 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2565",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p81cn/manifest
Work,uclalsc_3682798_vol03|~|vol. 03,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Third Day",ark:/21198/z14x78nx,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 3,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2njt,,,,,,,1961-09-27,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,95 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2564",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x78nx/manifest
Work,uclalsc_3682798_vol04|~|vol. 04,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Fourth Day",ark:/21198/z1156hxh,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6kn2,,,,,,,1961-09-28,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,64 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2563",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1156hxh/manifest
Work,uclalsc_3682798_vol05|~|vol. 05,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Fifth Day",ark:/21198/z1wd61cq,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 5,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p2901n,,,,,,,1961-09-29,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,91 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2562",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wd61cq/manifest
Work,uclalsc_3682798_vol06|~|vol. 06,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Sixth Day",ark:/21198/z1rn58n0,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 6,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36zdj,,,,,,,1961-09-30,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,2 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2561",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn58n0/manifest
Work,uclalsc_3682798_vol07|~|vol. 07,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Seveth Day",ark:/21198/z1mw4j0k,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 7,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk5fwk,,,,,,,1961-10-02,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,91 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2560",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw4j0k/manifest
Work,uclalsc_3682798_vol08|~|vol. 08,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Eighth Day",ark:/21198/z1h72gk4,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 8,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq24pk,,,,,,,1961-10-03,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,116 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2559",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h72gk4/manifest
Work,uclalsc_3682798_vol09|~|vol. 09,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Ninth Day",ark:/21198/z1cg1qx9,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 9,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x087x9,,,,,,,1961-10-04,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,70 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2558",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cg1qx9/manifest
Work,uclalsc_3682798_vol10|~|vol. 10,"Zanzibar Protectorate. Commission of Inquiry into Civil Disturbances on 1st June, 1961, and Succeeding Days, Tenth Day",ark:/21198/z17q1088,ark:/21198/z1nw1k1m|~|ark:/21198/z1zk7d59,vol. 10,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3t1f,,,,,,,1961-10-05,,,"Zanzibar Protectorate Commission of Inquiry into Civil Disturbances on 1st June 1961 and Succeeding Days, held at the Legislative Council Chamber, Zanzibar, before Sir Stafford Foster-Sutton (Chairman), Sir Vincent Tewson, C.A. Grossmith, commencing on Monday, 25th September 1961 / note taken by Treasury Reporter.",,117 pages,,reports,eng,,,,Zanzibar,"Legislative Council Chamber, Zanzibar","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2557",,,,individuals,Riots--Tanzania--Zanzibar|~|Zanzibar--Politics and government--20th century|~|Zanzibar--Race relations--History--20th century,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17q1088/manifest
