Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Content disclaimer,Visibility,IIIF Access URL,Rights.copyrightStatus,Rights.statementLocal,Rights.countryCreation,Rights.creatorCorporate,Name.creator,Subject.descriptiveTopic,Type.typeOfResource,Type.genre,Name.repository,Name.performer,Name.composer,Rights.servicesContact,Description.note,Title,AltIdentifier.local,Date.creation,Format.dimensions,Format.medium,Relation.isPartOf,Date.digitized,Format.extent,Description.tableOfContents,Description.abstract,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgk4s,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgk4s-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/4s/21198=zz002bgk4s/ark%2B=21198=zz002bgk4s.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,"Wilgus, D. K.",,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive","Gilbert, Aunt Ollie",,,"(at Heber Springs, Arkansas.) Learned from Joseph when Ollie was a young girl. She says also that Elihu Greer ""composed"" it. (The song is a revision of ""The Little Family."")|~|Recorded at Mountain View, Arkansas",Song Made by Joseph Luvney (Loveny?) On His Death Bed,clym200203uncl129-56_side2-01,07-24-1965,7 in.,open reel tape,Unclassified Series,2008-03-12,04m 05s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk4s%2Faudiowaveform.dat,,,245.930667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk4s/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgk59,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgk59-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/59/21198=zz002bgk59/ark%2B=21198=zz002bgk59.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive","Connors, Mary|~|Cronin, Elizabeth",,,From the Collections of the Irish Folklore Commission|~|Staff note: Lovely Banks of Lea and The Braes of Balquidder are separate entries in the container list.|~|Tenth Listening Session,Lovely Banks of Lea/The Braes of Balquidder,clym200203uncl128-70_side2-18,08-01-1952/08-29-1952,7 in.,,Unclassified Series,2008-03-13,open reel tape,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk59%2Faudiowaveform.dat,,,343.084958,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk59/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgk6t,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgk6t-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/6t/21198=zz002bgk6t/ark%2B=21198=zz002bgk6t.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,"Crail, Nancy",,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,Children's songs,Christopher Columbus What Do You Think of That?,clym200203acwf144-63_side 1-02,1963,7 in.,Open reel tape,Archive of California and Western Folklore,,00m 56s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk6t%2Faudiowaveform.dat,,,56.128,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk6t/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgk7b,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgk7b-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/7b/21198=zz002bgk7b/ark%2B=21198=zz002bgk7b.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,"Wilgus, D. K.",,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive","Gilbert, Aunt Ollie",,,"Recorded at Mountain View, Arkansas|~|Eleventh Listening Session",The Drummer Boy,clym200203uncl129-56_side2-02,07-24-1965,7 in.,open reel tape,Unclassified Series,2008-03-12,01m 23s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk7b%2Faudiowaveform.dat,,,83.456,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk7b/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgk8v,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgk8v-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/8v/21198=zz002bgk8v/ark%2B=21198=zz002bgk8v.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive","Ennis, Seamus",,,From the Collections of the Irish Folklore Commission|~|Tenth Listening Session,Mrs. McGrath,clym200203uncl128-70_side2-14,11-21-1959,7 in.,open reel tape,Unclassified Series,2008-03-13,03m 34s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk8v%2Faudiowaveform.dat,,,214.528,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk8v/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgk9c,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgk9c-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/9c/21198=zz002bgk9c/ark%2B=21198=zz002bgk9c.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,From the Collections of the Irish Folklore Commission|~|Tenth Listening Session,The Old Man Rocking the Cradle,clym200203uncl128-70_side2-15,09-19-1959,7 in.,open reel tape,Unclassified Series,2008-03-13,03m 17s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk9c%2Faudiowaveform.dat,,,197.632,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgk9c/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgkbw,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgkbw-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/bw/21198=zz002bgkbw/ark%2B=21198=zz002bgkbw.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,"Crail, Nancy",,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,Children's songs,Crail - Children's' songs - Introduction,clym200203acwf144-63_side1-01,1963,7 in.,open reel tape,Archive of California and Western Folklore,,01m 05s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgkbw%2Faudiowaveform.dat,,,65.066667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgkbw/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bgkcd,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bgkcd-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/gk/cd/21198=zz002bgkcd/ark%2B=21198=zz002bgkcd.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive","Ennis, Seamus",,,Tenth Listening Session|~|From the Collections of the Irish Folklore Commission,The Road to Killaloe,clym200203uncl128-70_side2-16,11-21-1959,7 in.,open reel tape,Unclassified Series,2008-03-13,04m 04s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bgkcd%2Faudiowaveform.dat,,,244.224,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bgkcd/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bp94m,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bp94m-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/p9/4m/21198=zz002bp94m/ark%2B=21198=zz002bp94m.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,Children's songs,Press On to the Big Corral,clym200203acwf144-63_side 1-10,1963,7 in.,Open reel tape,Archive of California and Western Folklore,,00m 55s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bp94m%2Faudiowaveform.dat,,,55.552,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bp94m/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bp954,ark:/21198/zz00089bvf,1,In progress,Work,wilgus/audio/masters/21198-zz002bp954-1-master.wav,,,,,private,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/2b/p9/54/21198=zz002bp954/ark%2B=21198=zz002bp954.mp4{},copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,"Crail, Nancy",,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,Children's songs,Go Tell It on the Mountain,clym200203acwf144-63_side 1-07,1963,7 in.,open reel tape,Archive of California and Western Folklore,,00m 46s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002bp954%2Faudiowaveform.dat,,,46.677333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bp954/manifest
