Object Type,Title,File Name,Item Sequence,Thumbnail,Item ARK,Parent ARK,collection.physical,Local identifier,volume/year,issue,Date.created,Date.normalized,Summary,Format.extent,Format.medium,Genre,Language,Name.creator,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Subject,viewingHint,Contributor,IIIF Manifest URL
Work,Atoka: Farioro,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6xnz,ark:/21198/z18w5dsh,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0001|~|vol. 29, no. 4; series 81",vol. 29,no. 4; series 81,1971,1971,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Akin Ogungbe ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w5dsh/manifest
Work,Atoka: Farioro,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4gnz,ark:/21198/z1544p12,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0002|~|vol. 29, no. 2; series 79",vol. 29,no. 2; series 79,1971,1971,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Akin Ogungbe ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1544p12/manifest
Work,Atoka: Esu Odara,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21074,ark:/21198/z11g2mqn,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0003|~|vol. 30, no. 1; series 82",vol. 30,no. 1; series 82,1971,1971,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.",37 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Kola Ogunmola ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g2mqn/manifest
Work,Atoka: Farioro,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc81v7,ark:/21198/z1wq247r,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0004|~|vol. 29, no. 3; series 80",vol. 29,no. 3; series 80,1971,1971,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,37 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Akin Ogungbe ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wq247r/manifest
Work,Atoka: Esu Odara,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g5kpm,ark:/21198/z1rz1cgk,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0005|~|vol. 30, no. 2; series 83",vol. 30,no. 2; series 83,1971,1971,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.",36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Kola Ogunmola ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rz1cgk/manifest
Work,Atoka: Esu Odara,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk3cxn,ark:/21198/z1n60mt2,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0006|~|vol. 30, no. 3; series 84",vol. 30,no. 3; series 84,1971,1971,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.",37 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Kola Ogunmola ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n60mt2/manifest
Work,Atoka: Esu Odara,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k094ww,ark:/21198/z1hd9w4n,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0007|~|vol. 30, no. 4; series 85",vol. 30,no. 4; series 85,1971,1971,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.",38 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Kola Ogunmola ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd9w4n/manifest
Work,Atoka: Iku Jare Eda,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36z4z,ark:/21198/z1cn94cv,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0008|~|vol. 31, no. 1; series 86",vol. 31,no. 1; series 86,1971,1971,Atoka: Yoruba photoplay drama about the inevitability of death.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Jimoh Aliu ati Egbe Freedom Travelling Theatre,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn94cv/manifest
Work,Atoka: Iku Jare Eda,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864h05,ark:/21198/z17w8cmp,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0009|~|vol. 31, no. 2; series 87",vol. 31,no. 2; series 87,1971,1971,Atoka: Yoruba photoplay drama about the inevitability of death.,34 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Jimoh Aliu ati Egbe Freedom Travelling Theatre,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w8cmp/manifest
Work,Atoka: Iku Jare Eda,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3spj,ark:/21198/z1476bbf,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0010|~|vol. 31, no. 3; series 88",vol. 31,no. 3; series 88,1971,1971,Atoka: Yoruba photoplay drama about the inevitability of death.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Jimoh Aliu ati Egbe Freedom Travelling Theatre,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1476bbf/manifest
Work,Atoka: Basorun Gaa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1bn3,ark:/21198/z10g5kk8,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0011|~|vol. 32, no. 1; series 89",vol. 32,no. 1; series 89,1971,1971,"Atoka: Yoruba photoplay drama set in ancient Oyo town, about a war general.",36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Segun Olubukun ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10g5kk8/manifest
