Object Type,Item ARK,Parent ARK,File Name,Title,AltTitle.translated,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Contributor,Name.producer,Format.extent,issue,Format.medium,Resource type,Genre,Language,Local identifier,Name.creator,Place of origin,Publisher.publisherName,Repository,Rights.copyrightStatus,Rights.rightsHolderContact,Subject
Work,ark:/21198/z1dc02bq,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1942_b_0678.wav,Waribugo Sculptor,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1942,1942,,"Institute of African Studies, University of Ibadan","25 mins, 43 secs",,Reel-to-Reel Tape,sound recording,sound recordings,yor|~|ibo|~|hau,IAS 57,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,Nigeria|~|Folklore--Nigeria|~|Performing arts festivals|~|
Work,ark:/21198/z18k99jj,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1962_b_0030.wav,Oba Moro,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1962,1962,Duro Ladipo,"Institute of African Studies, University of Ibadan",35 mins 38 secs,,Reel-to-Reel Tape,sound recording,sound recordings,yor,Collection 3,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southwest|~|Folk songs |~|Yoruba|~|Performing arts"
Work,ark:/21198/z14t8jv8,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1962_b_0031.wav,Oba Moro,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1962,1962,Duro Ladipo,"Institute of African Studies, University of Ibadan",37 mins 32 secs,,Reel-to-Reel Tape,sound recording,sound recordings,yor,Collection 4,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southwest|~|Performing arts"
Work,ark:/21198/z1156hjk,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0124.wav,Palmwine Drinkard,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Kola Ogunmola,"Institute of African Studies, University of Ibadan",31 mins 37 secs,,Reel-to-Reel Tape,sound recording,sound recordings,yor,1,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1wd6117,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0125.wav,Palmwine Drinkard,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Kola Ogunmola,"Institute of African Studies, University of Ibadan",32 mins 12 secs,,Reel-to-Reel Tape,sound recording,sound recordings,yor,2,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1rn5882,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0126.wav,Palmwine Drinkard,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Kola Ogunmola,"Institute of African Studies, University of Ibadan",32 mins 59 secs,,Reel-to-Reel Tape,sound recording,sound recordings,yor,3,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1mw4hks,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0127.wav,Palmwine Drinkard,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Kola Ogunmola,"Institute of African Studies, University of Ibadan",15 mins 11 secs,,Reel-to-Reel Tape,sound recording,sound recordings,yor,4,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1h43rx8,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0601.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,December 1963,1963-12,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",9mins 14secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,66,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1cc315w,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0602.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",17 mins 04 secs,2,Reel-to-Reel Tape,sound recording,sound recordings,ijo,67,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z17m28c8,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0603.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",15mins 48secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,70,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
