Object Type,Item ARK,Parent ARK,File name,local ID,Title,AltTitle.translated,AltTitle.other,Creator,Contributor,Contributor.producer,volume/year,issue,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Medium,Insitution/Repository,collection name,collection number,collection number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract,Note.content,Subject.topic
Work,ark:/21198/z1dc02bq,ark:/21198/z1jd6x7k,ias_meap_1942_b_0678.mp3,IAS 57,Waribugo Sculptor,,,,,"Institute of African Studies, University of Ibadan",,,1942,1942,yor|~|ibo|~|hau,sound recording,sound recording,"25 mins, 43 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Waribugo sculptor story,,Nigeria|~|Folklore--Nigeria|~|Performing arts festivals|~|
Work,ark:/21198/z18k99jj,ark:/21198/z1jd6x7k,ias_meap_1962_b_0030.mp3,Collection 3,Oba Moro,,,,Duro Ladipo,"Institute of African Studies, University of Ibadan",,,1962,1962,yor,sound recording,sound recordings,35 mins 38 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",Collection 3,Collection 3,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,A Yoruba musical play,,"Nigeria, Southwest|~|Folk songs |~|Yoruba|~|Performing arts"
Work,ark:/21198/z14t8jv8,ark:/21198/z1jd6x7k,ias_meap_1962_b_0031.mp3,Collection 4,Oba Moro,,,,Duro Ladipo,"Institute of African Studies, University of Ibadan",,,1962,1962,yor,sound recording,sound recordings,37 mins 32 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",Collection 4,Collection 4,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,A Yoruba musical play,,"Nigeria, Southwest|~|Performing arts"
Work,ark:/21198/z1156hjk,ark:/21198/z1jd6x7k,ias_meap_1963_b_0124.mp3,1,Palmwine Drinkard,,,,Kola Ogunmola,"Institute of African Studies, University of Ibadan",,,1963,1963,yor,sound recording,sound recordings,31 mins 37 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"First generation recording of the opera by Kola Ogunmola, adapted from  Amos Tutuola's novel, The Palmwine Drinkard, performed at the courtyard of the Institute of African Studies, Ibadan.",,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1wd6117,ark:/21198/z1jd6x7k,ias_meap_1963_b_0125.mp3,2,Palmwine Drinkard,,,,Kola Ogunmola,"Institute of African Studies, University of Ibadan",,,1963,1963,yor,sound recording,sound recordings,32 mins 12 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"First generation recording of the opera by Kola Ogunmola, adapted from  Amos Tutuola's novel, The Palmwine Drinkard, performed at the courtyard of the Institute of African Studies, Ibadan.",,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1rn5882,ark:/21198/z1jd6x7k,ias_meap_1963_b_0126.mp3,3,Palmwine Drinkard,,,,Kola Ogunmola,"Institute of African Studies, University of Ibadan",,,1963,1963,yor,sound recording,sound recordings,32 mins 59 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"First generation recording of the opera by Kola Ogunmola, adapted from  Amos Tutuola's novel, The Palmwine Drinkard, performed at the courtyard of the Institute of African Studies, Ibadan.",,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1mw4hks,ark:/21198/z1jd6x7k,ias_meap_1963_b_0127.mp3,4,Palmwine Drinkard,,,,Kola Ogunmola,"Institute of African Studies, University of Ibadan",,,1963,1963,yor,sound recording,sound recordings,15 mins 11 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"First generation recording of the opera by Kola Ogunmola, adapted from  Amos Tutuola's novel, The Palmwine Drinkard, performed at the courtyard of the Institute of African Studies, Ibadan.",,"Nigeria, Southern|~|Cultural Heritage|~|Performance Arts"
Work,ark:/21198/z1h43rx8,ark:/21198/z1jd6x7k,ias_meap_1963_b_0601.mp3,66,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,December 1963,1963-12,ijo,sound recording,sound recording,9mins 14secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1cc315w,ark:/21198/z1jd6x7k,ias_meap_1963_b_0602.mp3,67,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,2,1963,1963,ijo,sound recording,sound recordings,17 mins 04 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z17m28c8,ark:/21198/z1jd6x7k,ias_meap_1963_b_0603.mp3,70,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,15mins 48secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
