Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,AltTitle.uniform,Description.note,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.caption,Format.dimensions,Relation.hasPart,IIIF Manifest URL
Mental Health Archive,ark:/21198/zz001d390c/7050mr6j,ark:/21198/zz001d36st,1,In progress,Work,,1,,,,private,individuals,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 1,2010|~|1920-2010,,California,,,,Mental Health Oral History Interviews 2009-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d390c%2F7050mr6j/manifest
Mental Health Archive,ark:/21198/zz001d390c/7s932k2d,ark:/21198/zz001d36st,1,In progress,Work,,3,,,,private,individuals,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 3,2010|~|1920-2010,,California,,,,Mental Health Oral History Interviews 2009-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d390c%2F7s932k2d/manifest
Mental Health Archive,ark:/21198/zz001d390c/8q39px41,ark:/21198/zz001d36st,1,In progress,Work,,4,,,,private,individuals,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 4,2010|~|1920-2010,,California,,,,Mental Health Oral History Interviews 2009-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d390c%2F8q39px41/manifest
Mental Health Archive,ark:/21198/zz001d390c/9m13js32,ark:/21198/zz001d36st,1,In progress,Work,,2,,,,private,individuals,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 2,2010|~|1920-2010,,California,,,,Mental Health Oral History Interviews 2009-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d390c%2F9m13js32/manifest
Mental Health Archive,ark:/21198/zz001d3c0b,ark:/21198/zz001d36st,1,In progress,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892x5n,private,individuals,text,,pd_holder,,Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|Mentally ill--Recovery--California--Los Angeles County,,eng,,"Nelligan, Amanda|~|Meldrum, Marcia",,"Van Horn, Richard",,UCLA Center for History Culture and Neuroscience,59 p.,DMH Archive|~|Los Angeles County Department of Mental Health Archive,Interview of Richard Van Horn,2009|~|1939-2009,,Los Angeles County,"Family, Education, and Early Career; Early Involvement with Mental Health America; Advocacy; Provider of Last Resort; DMH Clinics v. Contract Clinics; The Concept of Recovery; AB3777; The Village; AB2034; Building Organizational Ties; Setbacks and Problems; MHSA; Working with DMH; Oversight and Accountability Commission; Memorandum of Understanding; Working with Multiple Agencies; Transformation; Milestones of Recovery; Financing Issues; Working with the MHA Board; Vision for the Future",DMH Oral History Interview with Richard Van Horn,,,,,"The Rev. Richard van Horn was Chief Executive Officer of Mental Health America in Los Angeles from 1980 through 2009 from 1980 through 2006, the organization name was the Mental Health Association).  He graduated from Harvard in 1961 and earned a Master in Divinity from the General Theological Seminary of New York in 1965.  Ordained as an Episcopal priest and assigned to the Diocese of Los Angeles, he took an extended leave from the Church in 1980 to pursue his work with MHA.  He became an active force in Mental Health Services in Los Angeles, presiding over the creation of the Village, the first Integrated Service Agency, and playing an important role in the passage of the Mental Health Services Act of 2005 (Prop 63).  Although he stepped down from his post as CEO of MHA in 2010, he continued to serve on the MHSA Oversight and Accountability Commission and on other important boards and task forces.",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3c0b/manifest
Mental Health Archive,ark:/21198/zz001d3f09,ark:/21198/zz001d36st,1,In progress,Work,,95,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz136p,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mentally ill--Data--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,4 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Estimates of Prevalence of Persons with Serious Emotional Disturbance and Serious Mental Illness,"July 2004, based on census data|~|2000-2004","Prevalence of SEI and SMI in LA County by age, ethnicity, gender, education, and poverty level|~|For the initial three-year implementation period, i-e., Fiscal Year {w) 2005-06 through FY 2007-08, a planning estimate for Community Services and Support will be provided to ensure that funding is reserved for each county and the City of Berkeley.",California Counties and city of Berkeley|~|Los Angeles County,,2005-2008 Funds distribution proposal draft|~|LAC Prevalence Tables,,http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3fpn-1-master.pdf|~|2000and2004LACPrevalenceTables,Department of Mental Health--Community of Supports and Services Draft,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f09/manifest
Mental Health Archive,ark:/21198/zz001d3f1t,ark:/21198/zz001d36st,1,In progress,Work,,26,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806swt,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,3 p.,DMH Archive|~|LA County Department of Mental Health -- MHSA Adult Transformation Files,Arcadia ACT Team,2005,,Arcadia CA,,,description of new community-based program at contract clinic (Arcadia),2005ArcadiaACTTeam,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f1t/manifest
Mental Health Archive,ark:/21198/zz001d3f2b,ark:/21198/zz001d36st,1,In progress,Work,,27,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4stp,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive|~|County of Los Angeles/Department of Mental Health - ASOC Transformation Files,Summary of ASOC Transformation Commitee Meeting on the Retreat,"March 23, 2005","List of people meeting, schedule for activities, and list of talking points for the ASOC retreat taking place March 23, 2005.",Los Angeles County,,,,2005ASOCTransfCommitteeMtgonRetreat,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f2b/manifest
Mental Health Archive,ark:/21198/zz001d3f3v,ark:/21198/zz001d36st,1,In progress,Work,,28,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz425n,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,"Innes-Gomberg, Debbie",,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive|~|County of Los Angeles/Department of Mental Health - ASOC Transformation Files,A Roadmap to Transforming DMH Adult Systems of Care Programs,June-July 2005,A List of Tasks Necessary to Accomplish the Transformation of the DMH Adult Systems of Care Program.,Los Angeles County,,,,2005ASOCTransfRoadmap,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f3v/manifest
Mental Health Archive,ark:/21198/zz001d3f4c,ark:/21198/zz001d36st,1,In progress,Work,,29,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1864,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Future MHSA Fund Allocation Charts,2005|~|FY05-06 - FY 07-08,"One pie chart recommending funding allocation for fiscal years 2005-06 and 2006-07, and another presenting a 5 year funding allocation estimate.",Los Angeles County,,,,2005FutureMHSAFundingCharts,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f4c/manifest
Mental Health Archive,ark:/21198/zz001d3f5w,ark:/21198/zz001d36st,1,In progress,Work,,30,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709rn3,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,"Southard, Marvin",,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Talking Points for Center Discussions on Transformations,2005,"Loss of 115 Waiver, focus on FSP in the current fiscal year, use of the recovery scale, reconfiguration of services to provide treatment found to be best empirically, eventually shifting focus away from FSP and establishing balance, use of SA navigators.",Los Angeles County,,,,2005TransformationTalkingPoints,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f5w/manifest
