Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract
Cruikshank (Margaret) Collection,ark:/21198/zz000s2z8d,,2,Completed,Collection,,,,,,,copyrighted,,,United States,"Cruikshank, Margaret",,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,June L. Mazer Lesbian Archives,,,,,,Cruikshank (Margaret) Collection,1971/1986,Between 1971 and 1986,,,"The Cruikshank papers consists of the following: book reviews and publicity materials relating to Lesbian Studies and lesbian and women's publishing; Cruikshank's original proposal for Lesbian Studies; publicity materials related to Cruikshank's hiring and firing at USF; book reviews, correspondence and materials regarding Lesbian Path; New Lesbian Writing publicity announcements, press releases, and book reviews; correspondence and publicity relating to Lesbian-Feminist Study Clearing House; interviews with Cruikshank; book reviews authored by Cruikshank."
Cruikshank (Margaret) Collection,ark:/21198/zz0019rrzd,ark:/21198/zz000s2z8d,2,Completed,Work,,1,,,,text,copyrighted,,,United States,,,,eng,,"Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|African American lesbians|~|Women of Color--Lesbians|~|Working class lesbians|~|Lesbian studies","Cruikshank, Margaret",,,,,,,Lesbian Studies - Book Reviews and Publicity Materials,1981/1983,Between 1981 and 1983,"Contains book reviews and news notes, press clippings and ephemera relating to Lesbian Studies and lesbian and women's publishing.|~|Box 6, 1 Folder. All newsprint materials were photocopied onto acid-free paper and oversized publications and clippings were removed and placed in oversized Box 14.",,
Cruikshank (Margaret) Collection,ark:/21198/zz0019rs71,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,5,,,,text,copyrighted,N,published,United States,,"Jay, Karla",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Gay News",,,,,,,Review of Lesbian Studies - Past and Present,1983-02,"February, 1983",Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019rz3c,ark:/21198/zz000s2z8d,2,Completed,Work,,2,,,,text,copyrighted,Y,unpublished,San Francisco (Calif.),,,,eng,,"Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|African American lesbians|~|Women of Color--Lesbians|~|Working class lesbians|~|Lesbian studies|~|Lesbians' writings, American--Periodicals","Cruikshank, Margaret",,,,,,,Lesbian Studies - Research and Proposals,1980/1981,Between 1980 and 1981,"Background/research notes including sample course syllabi from university course on lesbian studies. Lesbian Studies Anthology original proposal plus correspondence relating to tentative list of contents.|~|Box 6, 2 Folders",,
Cruikshank (Margaret) Collection,ark:/21198/zz0019s1zq,ark:/21198/zz0019rz3c,2,Completed,ChildWork,,1,,,,text,copyrighted,Y,unpublished,San Francisco (Calif.),,"Cruikshank, Margaret",,eng,,"Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Wenzel, Helene|~|San Francisco State University",,,,,,,"Proposal for the Course ""Lesbian Literature and Feminism""",1980-04-11,"April 11, 1980",,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019s20q,ark:/21198/zz000s2z8d,2,Completed,Work,,4,,,,text,copyrighted,,,San Francisco (Calif.)|~|United States,,"Cruikshank, Margaret",,eng,,"Lesbians in literature|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,,,,,,,Published and Unpublished Papers Authored by Cruikshank,1978/1986,Between 1978 and 1986,"Box 8, 7 Folders|~|Article by Cruikshank on why she got fired from her teaching job at the University of San Francisco (USF) in December, 1980. Published and unpublished talks, papers, and book reviews.",,
Cruikshank (Margaret) Collection,ark:/21198/zz0019s22r,ark:/21198/zz0019s20q,2,Completed,ChildWork,,4,,,,text,copyrighted,Y,unknown,San Francisco (Calif.),,"Cruikshank, Margaret",,eng,,"Lesbians--Stereotypes|~|Lesbians--Stereotypes--Film|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism",,,,,,,,"""Word is Out: Stories of Some of Our Lives"" - Published Film Review",1979/1986,Between 1979 and 1986,Rights.statementLocal: Unsure where this review was published.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019sfx0,ark:/21198/zz0019rs71,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019sfx0_739518_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019sg0h,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,18,,,,text,copyrighted,unknown,unknown,United States,Feminist Press,,,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,Lesbians Studies Order Form From Feminist Press,1981/1983,Between 1981 and 1983,,Rights.statementLocal: Unsure whether or not permission is granted to reproduce flyers.,
Cruikshank (Margaret) Collection,ark:/21198/zz0019sg2j,ark:/21198/zz0019sg0h,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019sg2j_739540_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
